index,Title,Date,Genre,orig_lang,Revenue($),Budget($),country,score
5922,Secrets of a Desperate Housewife,01-01-2008,, Japanese,1430410849,139800000,United States,85
5923,My Bloody Valentine,12-02-2009,"Mystery, Horror", English,102836002,14000000,Australia,55
5924,Every Secret Thing,20-04-2014,"Thriller, Crime, Mystery", English,103536,7200000,United States,61
5925,Moonrise Kingdom,30-08-2012,"Comedy, Drama, Romance", English,68848446,16000000,Australia,77
5926,The Sniper,19-11-2021,, Chinese,842846355.6,101800000,China,40
5927,Water Monster 2,20-08-2021,"Thriller, Mystery", Chinese,389334037.2,117171600,China,68
5928,The Girl on a Bulldozer,07-04-2022,"Mystery, Drama", Korean,628681408.4,110000000,South Korea,73
5929,Robin Robin,09-10-2021,"Animation, Adventure, Family", English,637128589,86800000,United Kingdom,71
5930,Lego Scooby-Doo!: Haunted Hollywood,03-05-2016,"Animation, Family, Comedy, Mystery", English,591061101.8,88600000,United States,74
5931,Ã†on Flux,23-02-2006,"Science Fiction, Action, Thriller", English,53321673,62000000,Australia,56
5932,Scorned,14-07-1993,"Drama, Thriller", English,734884073.8,76340000,United States,52
5933,The Apartment,10-08-2004,"Comedy, Drama, Romance", English,24599998,3000000,Australia,82
5934,Trinity Seven: Eternity Library & Alchemic Girl,01-02-2017,"Animation, Action, Comedy, Fantasy", Japanese,356069126,136000000,Japan,76
5935,"Ed, Edd n Eddy's Big Picture Show",08-11-2009,"Comedy, Animation, Adventure, TV Movie", English,1054685990,91000000,United States,73
5936,Omen IV: The Awakening,20-05-1991,"Horror, Mystery, Thriller", English,533025401.2,136400000,United States,51
5937,Utama,09-06-2022,Drama," Spanish, Castilian",653988016.4,67800000,Australia,74
5938,After We Leave,25-02-2020,"Science Fiction, Drama", English,745706751.2,77400000,United States,53
5939,Romeo Must Die,15-10-2000,"Action, Crime, Thriller", English,91036760,25000000,Australia,62
5940,Woman in a Box: Virgin Sacrifice,07-09-1985,"Thriller, Horror, Crime", Japanese,385960548.2,58670000,Japan,37
5941,Infernal Affairs,05-11-2003,"Drama, Action, Thriller, Crime, Mystery", Cantonese,8708932,125000,Australia,78
5942,See No Evil,19-05-2006,"Horror, Thriller", English,18828036,8000000,United States,54
5943,Gnome Alone,19-10-2018,"Family, Adventure, Animation, Comedy, Fantasy", English,10800715,16740000,United Kingdom,62
5944,Resort to Love,29-07-2021,"Romance, Comedy", English,517154102.4,110800000,United States,73
5945,Kikujiro,05-06-1999,"Comedy, Drama, Family", Japanese,730150249.8,129335539.8,Japan,76
5946,Father of the Bride,26-12-1991,"Comedy, Romance", English,89325780,20000000,Australia,64
5947,Ad Astra,19-09-2019,"Science Fiction, Drama", English,135406280,80000000,Australia,61
5948,The Crimson Rivers,27-09-2000,"Crime, Mystery, Thriller", French,257720413.2,2365000,France,69
5949,Stronger,22-09-2017,Drama, English,8786287,30000000,United States,70
5950,The Informer,01-07-2020,"Drama, Crime, Thriller", English,2366073,60000000,Australia,65
5951,Flowers in the Attic,18-01-2014,"Drama, Mystery, Thriller, TV Movie", English,394578542.8,65800000,United States,66
5952,The X Files: I Want to Believe,24-07-2008,"Drama, Mystery, Science Fiction, Thriller", English,69363381,30000000,Australia,57
5953,Jerry Maguire,06-03-1997,"Comedy, Drama, Romance", English,273552592,50000000,Australia,69
5954,The Witches of Eastwick,12-06-1987,"Comedy, Fantasy", English,63766510,22000000,United States,65
5955,Teen Beach 2,26-06-2015,"TV Movie, Family, Comedy, Fantasy", English,717161745.8,174600000,United States,67
5956,Girl in the Box,10-09-2016,Drama, English,154015402.6,20,United States,68
5957,The Green Hornet,20-01-2011,"Action, Crime, Comedy", English,229155503,110000000,Australia,56
5958,The Occupant,25-03-2020,"Thriller, Drama"," Spanish, Castilian",410263644.6,75200000,Spain,63
5959,National Lampoon's European Vacation,26-11-1985,"Adventure, Comedy, Romance", English,49364621,17000000,Australia,62
5960,The Big Blue,10-11-1988,"Adventure, Drama, Romance", French,27435150.6,14390509,Australia,75
5961,Interstellar: Nolan's Odyssey,05-11-2014,Documentary, English,534518566.6,62100000,United Kingdom,77
5962,The Tree of Life,30-06-2011,"Drama, Fantasy", English,61721826,35000000,Australia,67
5963,My Father's Violin,21-01-2022,"Drama, Music", Turkish,560238084.4,128000000,United States,79
5964,Spooks: The Greater Good,09-12-2015,"Thriller, Action", English,1473809,7000000,Australia,61
5965,Abduction,22-09-2011,"Thriller, Action, Mystery", English,86648359,35000000,Australia,59
5966,Broken Arrow,01-08-1950,Western, English,148345997,65000000,United States,68
5967,Children of the Sea,15-06-2019,"Animation, Fantasy, Adventure, Mystery", Japanese,300062289.2,79171600,Australia,71
5968,The Girl Next Door,03-10-2007,"Thriller, Crime, Drama, Horror", English,31635150,25000000,United States,67
5969,Flower & Snake,22-06-1974,"Thriller, Drama", Japanese,568390700.4,95200000,Japan,51
5970,Doraemon: Nobita's New Great Adventure Into the Underworld - The Seven Magic Users,10-03-2007,"Family, Adventure, Animation", Japanese,504738420,65000000,Japan,73
5971,Newness,25-01-2017,"Romance, Drama", English,205152219.6,10000000,United States,61
5972,General Cemetery,25-07-2013,Horror," Spanish, Castilian",636679839.4,75100000,Peru,66
5973,Max 2: White House Hero,05-05-2017,Family, English,383273842.4,170000000,United States,71
5974,The Chaser,14-02-2008,"Crime, Thriller, Action", Korean,4028782.6,120456666,South Korea,78
5975,Immoral Tales,28-08-1974,"Drama, Romance", French,570633320.6,86400000,France,59
5976,Under Wraps,01-10-2021,"Family, Comedy, Fantasy", English,488455456.6,88400000,United States,69
5977,Captain America,14-12-1990,"Action, Adventure, Science Fiction, War", English,4396382.8,3000000,United States,45
5978,First Reformed,16-08-2018,Drama, English,3988612,3500000,Australia,70
5979,Eddie the Eagle,21-04-2016,"Comedy, Drama, History, Adventure", English,45060480,23000000,Australia,72
5980,The Wailing,12-05-2016,"Horror, Mystery", Korean,49851770,10951000,South Korea,73
5981,Good Mourning,20-05-2022,Comedy, English,21348,7406600,United States,57
5982,Escape from the Planet of the Apes,20-05-1971,"Action, Science Fiction", English,12300000,2500000,United States,63
5983,Little Manhattan,30-09-2005,"Comedy, Romance", English,1117920,385373,United States,72
5984,Lady Chatterley's Lover,27-05-1982,"Drama, Romance", English,314837194,88000000,Australia,54
5985,Beau Pere,15-09-1981,"Drama, Romance", French,290912102,105200000,France,66
5986,Zombie Fight Club,23-10-2014,"Action, Horror", Chinese,933790755,127200000,Hong Kong,47
5987,Para entrar a vivir,16-08-2022,"Comedy, Horror"," Spanish, Castilian",281847101.4,96200000,Spain,54
5988,Addicted,10-10-2014,"Drama, Thriller", English,17499242,5000000,United States,58
5989,The 12th Man,25-12-2017,"War, Drama", Norwegian,9567121,7806306,Norway,73
5990,Maya the Bee Movie,07-01-2021,"Family, Animation", English,142599067.8,154000000,Australia,62
5991,Extinction,07-08-2015,"Drama, Horror, Science Fiction", English,2360000,20000000,United States,62
5992,Romancing the Stone,24-08-1984,"Adventure, Action, Romance, Comedy", English,86572238,10000000,Australia,68
5993,Guilty as Sin,04-06-1993,"Drama, Thriller, Mystery", English,22886222,2128009.2,United States,57
5994,So Undercover,10-04-2013,"Action, Comedy", English,2500000,15000000,Australia,62
5995,Flash Gordon,16-04-1981,"Science Fiction, Adventure, Fantasy, Action, Comedy", English,27176976,35000000,Australia,62
5996,How the Grinch Stole Christmas!,18-12-1966,"Animation, Family, Comedy", English,63327999.2,315000,United States,75
5997,Duel,06-04-1973,"Action, Thriller, TV Movie", English,32929889.6,450000,Australia,74
5998,Run to You,17-03-2022,"Comedy, Romance", Italian,372756516,73480000,Italy,69
5999,Better Watch Out,27-11-2016,"Comedy, Horror, Thriller", English,176288,50168000,Australia,67
6000,A Streetcar Named Desire,18-09-1951,Drama, English,8006845,1800000,United States,77
6001,Marvel One-Shot: The Consultant,13-09-2011,"Adventure, Fantasy, Science Fiction, Action", English,184077446.8,500000,United States,64
6002,Lifemark,13-10-2022,Drama, English,5021114,56600000,Australia,67
6003,Secretariat,08-10-2010,Drama, English,60376247,35000000,United States,74
6004,Deep Rising,07-05-1998,"Adventure, Action, Horror, Science Fiction", English,11203026,45000000,Australia,62
6005,Paranoia,03-10-2013,"Drama, Thriller", English,16340767,40000000,Australia,57
6006,The King's Speech,23-12-2010,"Drama, History", English,414211549,15000000,Australia,77
6007,Miss Congeniality 2: Armed and Fabulous,24-03-2005,"Action, Comedy", English,101292343,60000000,Australia,57
6008,Species: The Awakening,17-10-2007,"Horror, Science Fiction, Thriller", English,1463596.6,3800000,Australia,47
6009,Another Egg and Chicken Movie,20-04-2009,"Animation, Comedy, Adventure"," Spanish, Castilian",8600000,1900000,Mexico,76
6010,Incendies,03-03-2011,"Drama, War, Mystery", French,16017448,6800000,Australia,81
6011,Double Indemnity,01-12-1944,"Crime, Drama, Mystery, Thriller", English,2500000,927262,Australia,81
6012,Forbidden Planet,10-01-1957,Science Fiction, English,3250000,1900000,Australia,73
6013,Lady Vengeance,03-08-2006,"Drama, Thriller", Korean,23803308,3675000,Australia,76
6014,"Germany, Year Zero",01-12-1948,"War, Drama, History", Italian,713462580.8,129460000,Italy,77
6015,The Nightingale,29-08-2019,"Drama, Thriller", English,855756,26848000,Australia,72
6016,Eagle Eye,17-10-2008,"Mystery, Thriller, Action", English,180585259,80000000,Australia,64
6017,Hell House LLC II: The Abaddon Hotel,14-09-2018,Horror, English,134150172.6,103600000,United States,57
6018,Julia X,24-09-2011,Horror, English,3515997.6,4000000,United States,51
6019,The City of Lost Children,21-12-1995,"Fantasy, Science Fiction, Adventure", French,1738611,18000000,Australia,73
6020,I Am All Girls,14-05-2021,"Crime, Drama, Mystery, Thriller", English,505093460.8,126400000,United States,67
6021,Invictus,21-01-2010,"Drama, History", English,124514011,60000000,Australia,72
6022,"No Retreat, No Surrender",02-05-1986,Action, English,4662137,2358225.8,United States,63
6023,I Kill Giants,31-05-2018,"Fantasy, Drama", English,97611784.2,15100000,Australia,62
6024,Sneakerella,13-05-2022,"Music, Comedy, Family", English,690731020,58000000,Australia,60
6025,Hatchet,27-04-2006,"Comedy, Horror", English,240396,1500000,United States,58
6026,Reign of Fire,31-10-2002,"Adventure, Action, Fantasy", English,82150183,60000000,Australia,62
6027,Camp Rock 2: The Final Jam,03-09-2010,"Comedy, Music, TV Movie", English,572504805.6,100760000,United States,63
6028,Tucker and Dale vs. Evil,28-07-2011,"Comedy, Horror", English,5224938,5000000,Australia,74
6029,Amy,10-07-2015,"Documentary, Music", English,8413144,25255933.2,United States,76
6030,Motherless Brooklyn,31-10-2019,"Drama, Thriller", English,18477276,26000000,Australia,67
6031,Twin Dragons,15-01-1992,"Comedy, Action", Cantonese,8332431,10000000,Hong Kong,67
6032,Amityville II: The Possession,12-05-1983,Horror, English,12534817,5000000,Australia,57
6033,Virgin Breaker Yuki,14-05-1975,Drama, Japanese,175269998.8,174600000,Japan,0
6034,Chaos,16-01-2006,"Drama, Action, Crime", English,7000000,30000000,Australia,63
6035,Taxi 3,29-01-2003,"Action, Comedy", French,65497208,14500000,France,57
6036,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,04-07-2013,"Action, Comedy, Science Fiction, Animation", Japanese,749472009.2,99060000,Japan,81
6037,Welcome to the Sticks,04-09-2008,"Comedy, Drama, Romance", French,245144417,11000000,Australia,67
6038,CzyÅ›ciec,24-10-2022,Drama, English,454488625.8,142000000,Brazil,55
6039,The Monkey King 3,16-02-2018,"Action, Adventure, Fantasy", Chinese,5470255.6,73000000,China,54
6040,The Grace Card,25-02-2011,Drama, English,2430735,200000,United States,73
6041,Frozen,05-02-2010,Thriller, English,1256887580,150000000,United States,60
6042,Giant,06-06-1957,"Drama, Western", English,32855818,5400000,Australia,76
6043,The Furies,07-11-2019,"Horror, Action, Thriller", English,324752855.2,87700000,Australia,55
6044,Donnie Brasco,10-04-1997,"Crime, Drama, Thriller", English,65303052,35000000,Australia,75
6045,Flatliners,20-08-1990,"Drama, Science Fiction, Horror", English,61308153,26000000,Australia,65
6046,Flatliners,20-08-1990,"Drama, Science Fiction, Horror", English,45173738,20000000,Australia,65
6047,Crazy Safari,05-07-1991,"Action, Comedy", Cantonese,851011213,112200000,Hong Kong,47
6048,Downfall,21-04-2005,"Drama, History, War", German,92180910,18339750,Australia,78
6049,Wolves,14-11-2014,"Horror, Action", English,94953,18000000,United States,59
6050,Next,23-08-2007,"Action, Science Fiction, Thriller", English,73591500,70000000,Australia,60
6051,Manta Manta - Zwoter Teil,30-03-2023,"Comedy, Action, Adventure", German,323787336.6,50601000,Germany,33
6052,Kidnapping Mr. Heineken,12-03-2015,"Drama, Action, Crime, Thriller, Mystery", English,2633527,3938800.2,Australia,60
6053,Convoy,27-06-1978,"Action, Comedy", English,45000000,12000000,Australia,63
6054,The Reaping,05-04-2007,Horror, English,62226214,40000000,United States,57
6055,Phineas and Ferb: The Movie: Across the 2nd Dimension,29-08-2011,"Animation, Comedy, Family, TV Movie, Adventure, Science Fiction", English,424831011.2,113000000,Australia,69
6056,Coneheads,16-09-1993,"Comedy, Science Fiction, Family", English,21274717,33000000,Australia,53
6057,Barbie in Princess Power,10-09-2017,Animation, English,355010205.6,92200000,Australia,62
6058,The Banana Splits Movie,04-09-2019,"Horror, Comedy", English,503592601.2,46600000,Australia,67
6059,Belfast,03-02-2022,Drama, English,30000000,25000000,Australia,71
6060,Australia,18-11-2008,"Adventure, Drama, Romance", English,215080810,130000000,Australia,66
6061,The Aviator,10-02-2005,Drama, English,208370892,110000000,Australia,72
6062,Lupin the Third: The Castle of Cagliostro,11-07-1995,"Family, Animation, Adventure, Comedy, Crime", Japanese,8194857,7202188,Australia,75
6063,Smokin' Aces,15-01-2007,"Action, Comedy, Crime, Thriller", English,57263440,17000000,Australia,65
6064,The Dry,01-01-2021,"Crime, Thriller, Mystery", English,17424378,21505004,Australia,68
6065,Beethoven's Big Break,26-12-2008,"Family, Comedy", English,404605095.8,124600000,United States,52
6066,Bulbbul,24-06-2020,"Horror, Fantasy", Hindi,338484508.2,56400000,Singapore,68
6067,Land of the Lost,11-06-2009,"Adventure, Comedy, Science Fiction", English,69548641,100000000,Australia,55
6068,14 and Under,16-08-1973,"Comedy, Romance", German,641555930.2,49000000,Germany,55
6069,Darkness Falls,28-08-2003,"Thriller, Horror", English,47289758,7000000,Australia,55
6070,The Curse of Buckout Road,24-11-2017,Horror, English,470197771.4,60800000,Canada,67
6071,Amulet,24-07-2020,Horror, English,338365977.2,95000000,United States,53
6072,Nomadland,04-03-2021,Drama, English,38728987,5000000,Australia,72
6073,The Spectacular Now,05-12-2013,"Comedy, Drama, Romance", English,6916951,2500000,Australia,66
6074,Anon,04-05-2018,Science Fiction, English,198063983.4,20000000,United States,59
6075,Detective Knight: Redemption,09-12-2022,"Action, Thriller", English,319040588.8,38200000,United States,62
6076,Escape from L.A.,09-10-1996,"Action, Adventure, Science Fiction, Thriller", English,25426861,50000000,Australia,59
